epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
63,124.99,1.13759,1.18246,0.00342,0.90005,0.76923,0.90948,0.63879,1.2046,1.22468,0.00281,0.0007724,0.0007724,0.0007724
64,126.696,1.07342,1.41437,0.00291,0.91209,0.79846,0.89595,0.62953,1.18414,1.20865,0.00268,0.0007526,0.0007526,0.0007526
65,128.404,0.81593,1.06391,0.00171,0.84083,0.81286,0.89543,0.64618,1.14033,1.1768,0.00258,0.0007328,0.0007328,0.0007328
66,130.155,0.79903,0.97928,0.00181,0.93062,0.76923,0.87638,0.66838,1.08193,1.16936,0.00247,0.000713,0.000713,0.000713
67,132.017,0.94052,1.06239,0.00203,0.90343,0.76923,0.86758,0.65441,1.09012,1.16429,0.00251,0.0006932,0.0006932,0.0006932
68,134.126,0.87315,0.96968,0.00159,0.94883,0.71368,0.86425,0.6385,1.16352,1.18804,0.00266,0.0006734,0.0006734,0.0006734
69,136.243,0.86259,0.904,0.00191,0.84088,0.88462,0.92894,0.63329,1.20978,1.18342,0.00274,0.0006536,0.0006536,0.0006536
70,138.257,1.07905,1.08081,0.00201,0.85287,0.88462,0.92957,0.62681,1.29899,1.20924,0.00291,0.0006338,0.0006338,0.0006338
71,140.303,0.88904,0.98549,0.0017,0.91624,0.8416,0.92076,0.63255,1.25253,1.17081,0.00285,0.000614,0.000614,0.000614
72,142.148,0.7807,0.84231,0.0019,0.89795,0.84615,0.92076,0.64937,1.16152,1.12914,0.00267,0.0005942,0.0005942,0.0005942
73,144.173,1.00317,0.78603,0.00226,0.88284,0.84615,0.9221,0.65232,1.156,1.11451,0.00266,0.0005744,0.0005744,0.0005744
74,146.07,0.79863,0.96395,0.0018,0.88087,0.85338,0.92443,0.65547,1.12672,1.07454,0.00262,0.0005546,0.0005546,0.0005546
75,148.002,0.88427,0.91582,0.00179,0.8716,0.84615,0.8905,0.64584,1.17584,1.0608,0.00271,0.0005348,0.0005348,0.0005348
76,150.077,0.80245,0.93813,0.00185,0.91956,0.80769,0.88518,0.64434,1.15774,1.07687,0.00266,0.000515,0.000515,0.000515
77,151.975,0.87621,0.84583,0.00207,0.92366,0.76923,0.88008,0.6463,1.13005,1.04206,0.00258,0.0004952,0.0004952,0.0004952
78,153.985,0.87908,0.77436,0.00172,0.93582,0.76923,0.87847,0.66152,1.0965,1.06301,0.0025,0.0004754,0.0004754,0.0004754
79,155.949,0.74183,0.82341,0.00168,0.93417,0.76923,0.87841,0.65462,1.11209,1.06802,0.00257,0.0004556,0.0004556,0.0004556
80,157.587,0.81407,0.80897,0.0017,0.95216,0.76564,0.87883,0.66714,1.1305,1.05652,0.0026,0.0004358,0.0004358,0.0004358
81,159.263,0.74587,0.82798,0.0017,0.99669,0.73077,0.87881,0.65353,1.11551,1.04181,0.00254,0.000416,0.000416,0.000416
82,161.308,0.93546,0.9662,0.0028,0.9836,0.73077,0.90514,0.65558,1.08692,1.0266,0.00245,0.0003962,0.0003962,0.0003962
83,163.172,0.73866,0.72912,0.00151,0.87746,0.82661,0.9103,0.65544,1.09549,0.99368,0.00248,0.0003764,0.0003764,0.0003764
84,165.172,0.68488,0.72561,0.00143,0.8708,0.84615,0.91544,0.65626,1.09249,0.92774,0.0025,0.0003566,0.0003566,0.0003566
85,167.169,0.77344,0.79306,0.00204,0.95607,0.83728,0.91911,0.66001,1.08946,0.91894,0.00249,0.0003368,0.0003368,0.0003368
86,169.224,1.06859,0.8707,0.00194,0.95615,0.8389,0.92082,0.67044,1.07049,0.96254,0.00239,0.000317,0.000317,0.000317
87,171.003,0.88448,0.83978,0.00183,0.95627,0.84134,0.89984,0.65608,1.12188,0.98992,0.00249,0.0002972,0.0002972,0.0002972
88,172.708,0.69184,0.99007,0.00161,0.91552,0.83401,0.89739,0.64165,1.15481,1.03561,0.00256,0.0002774,0.0002774,0.0002774
89,174.641,0.81487,0.86333,0.0017,0.91534,0.83212,0.89842,0.64384,1.16673,1.03209,0.00259,0.0002576,0.0002576,0.0002576
90,176.699,1.00866,0.86179,0.0025,0.9555,0.82635,0.89963,0.6477,1.15399,1.01056,0.00257,0.0002378,0.0002378,0.0002378
91,181.308,0.68669,0.75468,0.00199,0.95455,0.80769,0.90125,0.65745,1.14892,0.94917,0.00257,0.000218,0.000218,0.000218
92,183.07,0.88305,0.89771,0.00207,0.95385,0.79527,0.90939,0.66314,1.12059,0.94039,0.00252,0.0001982,0.0001982,0.0001982
93,184.733,0.71752,0.77436,0.00186,0.95435,0.80426,0.90757,0.65561,1.11107,0.93391,0.00251,0.0001784,0.0001784,0.0001784
94,186.544,0.7002,0.84637,0.00207,0.92352,0.80769,0.90012,0.65315,1.09841,0.92893,0.00251,0.0001586,0.0001586,0.0001586
95,188.385,0.65763,0.76304,0.00168,0.92459,0.80769,0.89966,0.66876,1.08792,0.92332,0.0025,0.0001388,0.0001388,0.0001388
96,190.382,0.66063,0.83592,0.00157,0.9299,0.80769,0.8983,0.66583,1.08785,0.92307,0.00248,0.000119,0.000119,0.000119
97,192.452,0.54618,0.70579,0.00142,0.93127,0.80769,0.89809,0.66399,1.09026,0.9234,0.00249,9.92e-05,9.92e-05,9.92e-05
98,194.307,0.61209,0.70778,0.00154,0.931,0.80769,0.89798,0.66421,1.09259,0.92302,0.00249,7.94e-05,7.94e-05,7.94e-05
99,195.886,0.62432,0.70754,0.0016,0.93043,0.80769,0.89778,0.65759,1.09654,0.92691,0.00251,5.96e-05,5.96e-05,5.96e-05
100,197.667,0.57513,0.79381,0.00145,0.93139,0.80769,0.89589,0.65751,1.09357,0.92558,0.0025,3.98e-05,3.98e-05,3.98e-05
